x,y,lon,lat
805.3915104,2511.899267,-87.94804573,43.0031799
805.3915104,2601.302913,-87.9479599,42.99771873
863.9102604,2601.302913,-87.94225216,42.99765595
864.5604688,2512.549475,-87.94216632,43.00305436
805.0664063,2551.561975,-87.94830322,43.00066908
851.2311979,2511.899267,-87.94452667,43.00308575
671.1234896,2700.495807,-87.95922517,42.99143742
1387.002865,1118.827913,-87.89738416,43.08704171
1384.402031,1557.068329,-87.89781332,43.06033267
1426.015365,1593.046531,-87.89429426,43.05746881
1036.865677,2511.64641,-87.92835295,43.00243713
1038.166094,2747.094075,-87.92852461,42.98824247
1027.76276,1560.102638,-87.9280056,43.06035358
1343.438906,2142.761523,-87.90168374,43.02496245
570.9914063,2752.512484,-87.96773046,42.9883421
329.7641146,2281.039195,-87.98721403,43.01737655
797.9141146,866.9083174,-87.94507116,43.102629
1028.087865,390.0888861,-87.92593091,43.13316831
1039.791615,335.4713861,-87.92472928,43.13592425
327.1632813,1565.810028,-87.98747152,43.06065161
805.8385286,2749.803252,-87.94805377,42.9885269
803.2376953,2277.752002,-87.94807523,43.01715685
1038.613112,2376.583669,-87.92794793,43.01070669
322.0835286,889.6294579,-87.98646301,43.10338793
1216.770195,1822.172703,-87.91216045,43.0440119
325.1415397,1335.022164,-87.98678755,43.07514476
